year,count,mean,std,min,25%,50%,75%,max
2024,68.0,10.558823529411764,1.226356731976862,7.0,10.0,10.5,11.0,13.0
2026,46.0,12.76086956521739,2.46923094287986,7.0,11.0,13.0,14.0,20.0
